ID	CanonID	Title	TitleTemp	Filename	Jahr	Date	Authors	Place	Caption	Camera	Nix
6659	112	2005CG-0019-MuralsonGarage.jpg	2005CG-0019-MuralsonGarage.jpg	2005CG-0019-MuralsonGarage.jpg	2005		Ulli Diemer	Laneway west of Bathurst		Canon G5	
6660	113	2005CG-0020-LanewayWestofBathurst.jpg	2005CG-0020-LanewayWestofBathurst.jpg	2005CG-0020-LanewayWestofBathurst.jpg	2005		Ulli Diemer	Laneway west of Bathurst		Canon G5	
6661	114	2005CG-0021-GarageMural.jpg	2005CG-0021-GarageMural.jpg	2005CG-0021-GarageMural.jpg	2005		Ulli Diemer	Laneway west of Bathurst		Canon G5	
6662	115	2005CG-0022-HouseonBathurstwithVines.jpg	2005CG-0022-HouseonBathurstwithVines.jpg	2005CG-0022-HouseonBathurstwithVines.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6663	116	2005CG-0023-HouseonBathurstwithVines.jpg	2005CG-0023-HouseonBathurstwithVines.jpg	2005CG-0023-HouseonBathurstwithVines.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6664	117	2005CG-0024-HouseonBathurst.jpg	2005CG-0024-HouseonBathurst.jpg	2005CG-0024-HouseonBathurst.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6665	118	2005CG-0025-HouseonBathurst.jpg	2005CG-0025-HouseonBathurst.jpg	2005CG-0025-HouseonBathurst.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6666	119	2005CG-0026-AcrossBathursttoAlexandraPark.jpg	2005CG-0026-AcrossBathursttoAlexandraPark.jpg	2005CG-0026-AcrossBathursttoAlexandraPark.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6667	120	2005CG-0027-AcrossBathursttoAlexandraPark.jpg	2005CG-0027-AcrossBathursttoAlexandraPark.jpg	2005CG-0027-AcrossBathursttoAlexandraPark.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6668	121	2005CG-0028-BathurstnearWolseley.jpg	2005CG-0028-BathurstnearWolseley.jpg	2005CG-0028-BathurstnearWolseley.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6669	122	2005CG-0029-CatonPorch.jpg	2005CG-0029-CatonPorch.jpg	2005CG-0029-CatonPorch.jpg	2005		Ulli Diemer			Canon G5	
6670	123	2005CG-0030-CatonPorch.jpg	2005CG-0030-CatonPorch.jpg	2005CG-0030-CatonPorch.jpg	2005		Ulli Diemer			Canon G5	
6671	124	2005CG-0031-AmelieonSlide.jpg	2005CG-0031-AmelieonSlide.jpg	2005CG-0031-AmelieonSlide.jpg	2005		Ulli Diemer			Canon G5	
6672	125	2005CG-0032-AmelieonSlide.jpg	2005CG-0032-AmelieonSlide.jpg	2005CG-0032-AmelieonSlide.jpg	2005		Ulli Diemer			Canon G5	
6673	126	2005CG-0033-AmelieonSlide.jpg	2005CG-0033-AmelieonSlide.jpg	2005CG-0033-AmelieonSlide.jpg	2005		Ulli Diemer			Canon G5	
